Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Henmore Brook | United Kingdom | Archaeolist,/sites/united-kingdom/henmore-brook,6,5,1.2,10,21,0,0
Jebel al-Salayli (archaeological site) | Oman | Archaeolist,/sites/oman/jebel-al-salayli-archaeological-site,6,3,2,18,21,0,0
Jordan Archaeological Sites | Archaeolist,/sites/jordan,6,6,1,24,22,0,0
Kalanay Cave | the Philippines | Archaeolist,/sites/the-philippines/kalanay-cave,6,3,2,15,23,0,0
Kamyana Mohyla | Ukraine | Archaeolist,/sites/ukraine/kamyana-mohyla,6,4,1.5,14,16,0,0
Kourion | Cyprus | Archaeolist,/sites/cyprus/kourion,6,3,2,65.33333333333333,13,0,0
Library of Celsus | Turkey | Archaeolist,/sites/turkey/library-of-celsus,6,3,2,16.666666666666668,17,0,0
Namibia Archaeological Sites | Archaeolist,/sites/namibia,6,6,1,3.3333333333333335,19,0,0
Northern Cape Heritage Resources Authority | South Africa | Archaeolist,/sites/south-africa/northern-cape-heritage-resources-authority,6,7,0.8571428571428571,10.571428571428571,22,0,0
Orkhon inscriptions | Mongolia | Archaeolist,/sites/mongolia/orkhon-inscriptions,6,6,1,3.6666666666666665,25,0,0
Poland Archaeological Sites | Archaeolist,/sites/poland,6,6,1,16.833333333333332,20,0,0
Puig de sa Morisca Archaeological Park | Spain | Archaeolist,/sites/spain/puig-de-sa-morisca-archaeological-park,6,6,1,0.6666666666666666,23,0,0
Samannud | Egypt | Archaeolist,/sites/egypt/samannud,6,4,1.5,1,16,0,0
Sibudu Cave | South Africa | Archaeolist,/sites/south-africa/sibudu-cave,6,6,1,54.166666666666664,24,0,0
Taforalt | Morocco | Archaeolist,/sites/morocco/taforalt,6,5,1.2,10.4,17,0,0
Tell el-Dab'a | Egypt | Archaeolist,/sites/egypt/tell-el-daba,6,5,1.2,16,21,0,0
Tepe Yahya | Iran | Archaeolist,/sites/iran/tepe-yahya,6,6,1,8.333333333333334,24,0,0
Tito Bustillo Cave | Spain | Archaeolist,/sites/spain/tito-bustillo-cave,6,6,1,0,18,0,0
Tiwanaku | Bolivia | Archaeolist,/sites/bolivia/tiwanaku,6,5,1.2,4.8,15,0,0
Wonderwerk Cave | South Africa | Archaeolist,/sites/south-africa/wonderwerk-cave,6,5,1.2,46.2,13,0,0
Ayacucho Region Archaeological Sites | Archaeolist,/sites/ayacucho-region,5,5,1,0,15,0,0
Babylon | Iraq | Archaeolist,/sites/iraq/babylon,5,4,1.25,37,17,0,0
Balalyk Tepe | Uzbekistan | Archaeolist,/sites/uzbekistan/balalyk-tepe,5,5,1,13.4,16,0,0
Bhimbetka rock shelters | India | Archaeolist,/sites/india/bhimbetka-rock-shelters,5,5,1,7,13,0,0
Botswana Archaeological Sites | Archaeolist,/sites/botswana,5,3,1.6666666666666667,22.666666666666668,14,0,0
Chan Chan | Peru | Archaeolist,/sites/peru/chan-chan,5,7,0.7142857142857143,21.285714285714285,18,0,0
Charax Spasinu | Iraq | Archaeolist,/sites/iraq/charax-spasinu,5,4,1.25,35,20,0,0
Cim (archaeological site) | Bosnia and Herzegovina | Archaeolist,/sites/bosnia-and-herzegovina/cim-archaeological-site,5,4,1.25,8,19,0,0
Daimabad | India | Archaeolist,/sites/india/daimabad,5,4,1.25,14,18,0,0
Ecuador Archaeological Sites | Archaeolist,/sites/ecuador,5,5,1,0,16,0,0
El Hawawish | Egypt | Archaeolist,/sites/egypt/el-hawawish,5,4,1.25,11.5,18,0,0
El Orcoquisac Archeological District | United States | Archaeolist,/sites/united-states/el-orcoquisac-archeological-district,5,5,1,1.6,17,0,0
Eleke Sazy | Kazakhstan | Archaeolist,/sites/kazakhstan/eleke-sazy,5,4,1.25,28.5,12,0,0
Finglesham Anglo-Saxon cemetery | United Kingdom | Archaeolist,/sites/united-kingdom/finglesham-anglo-saxon-cemetery,5,5,1,2,20,0,0
Fisher Mound Group | United States | Archaeolist,/sites/united-states/fisher-mound-group,5,5,1,0,15,0,0
Gademotta | Ethiopia | Archaeolist,/sites/ethiopia/gademotta,5,3,1.6666666666666667,4.666666666666667,17,0,0
Gebelein | Egypt | Archaeolist,/sites/egypt/gebelein,5,4,1.25,5.25,14,0,0
Ghaba | Sudan | Archaeolist,/sites/sudan/ghaba,5,1,5,7,11,0,0
"Hadar, Ethiopia | Ethiopia | Archaeolist",/sites/ethiopia/hadar-ethiopia,5,5,1,7.4,18,0,0
Haua Fteah | Libya | Archaeolist,/sites/libya/haua-fteah,5,4,1.25,27.25,14,0,0
Hitzacker Archaeological Centre | Germany | Archaeolist,/sites/germany/hitzacker-archaeological-centre,5,5,1,6.4,9,0,0
Isla Palenque | Panama | Archaeolist,/sites/panama/isla-palenque,5,4,1.25,17,8,0,0
Jeitun | Turkmenistan | Archaeolist,/sites/turkmenistan/jeitun,5,3,1.6666666666666667,4.333333333333333,17,0,0
Kingdom of Mapungubwe | South Africa | Archaeolist,/sites/south-africa/kingdom-of-mapungubwe,5,5,1,31.4,18,0,0
Klasies River Caves | South Africa | Archaeolist,/sites/south-africa/klasies-river-caves,5,4,1.25,5.25,15,0,0
Koktepe | Uzbekistan | Archaeolist,/sites/uzbekistan/koktepe,5,5,1,7.8,17,0,0
Ksar Ghilane | Tunisia | Archaeolist,/sites/tunisia/ksar-ghilane,5,5,1,11.6,18,0,0
Kumma (Nubia) | Sudan | Archaeolist,/sites/sudan/kumma-nubia,5,4,1.25,19,18,0,0
Kumtura Caves | China | Archaeolist,/sites/china/kumtura-caves,5,2,2.5,2.5,13,0,0
Kuntur Wasi | Cajamarca Region | Archaeolist,/sites/cajamarca-region/kuntur-wasi,5,5,1,29.2,18,0,0
Lasana | Chile | Archaeolist,/sites/chile/lasana,5,5,1,25.8,15,0,0
Letchworth-Love Mounds Archaeological State Park | United States | Archaeolist,/sites/united-states/letchworth-love-mounds-archaeological-state-park,5,5,1,0,15,0,0
Maadi | Egypt | Archaeolist,/sites/egypt/maadi,5,5,1,13.6,19,0,0
Naletale | Zimbabwe | Archaeolist,/sites/zimbabwe/naletale,5,5,1,4.2,12,0,0
Necromanteion of Acheron | Greece | Archaeolist,/sites/greece/necromanteion-of-acheron,5,3,1.6666666666666667,11,13,0,0
Parc Cwm long cairn | United Kingdom | Archaeolist,/sites/united-kingdom/parc-cwm-long-cairn,5,5,1,0,16,0,0
Pashime | Iraq | Archaeolist,/sites/iraq/pashime,5,4,1.25,15,20,0,0
